,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin,Mvir_all,M200b,M200c,M500c,M2500c,Xoff,Voff,Spin_Bullock,b_to_a,c_to_a,A[x],A[y],A[z],b_to_a(500c),c_to_a(500c),A[x](500c),A[y](500c),A[z](500c),T/|U|,M_pe_Behroozi,M_pe_Diemer
10715,0.77235,2082716864,0.77835,2098299024.0,15.0,-1.0,-1.0,-1.0,0.0,130100000000000.0,130000000000000.0,1153.449,119.145,980.59,1.0,0.2523,943.44,35.68823,43.15213,17.95164,27.13,37.72,-104.07,1324000000000000.0,-1007000000000000.0,-1238000000000000.0,0.01525,29089531.0,29078884.0,3060299107.0,2116809.0,112.0,29193114.0,29193113.0,29078994.0,121.726,129980000000000.0,139210000000000.0,114130000000000.0,89578000000000.0,48123000000000.0,33.0929,12.27,0.01598,0.77172,0.53983,58.7689,-6.810739999999999,24.7474,0.7668699999999999,0.5209,47.8558,-4.244680000000001,21.8677,0.6298,132700000000000.0,72970000000000.0
11045,0.76635,2067060582,0.77235,2082716864.0,18.0,-1.0,-1.0,-1.0,0.0,129233000000000.0,129300000000000.0,1154.123,123.355,976.59,1.0,0.2523,941.82,35.69048,43.14835,17.96444,-3.37,25.7,-122.87,1343000000000000.0,-840400000000000.0,-1396000000000000.0,0.01564,29089861.0,29078885.0,3060299107.0,2126437.0,111.0,29192047.0,29192046.0,29078994.0,123.355,129310000000000.0,138220000000000.0,113810000000000.0,89069000000000.0,47585000000000.0,32.5176,31.91,0.01646,0.77241,0.5344800000000001,59.3151,-6.2988800000000005,24.987,0.76247,0.51669,47.953,-3.7278,22.7996,0.6292,130800000000000.0,74140000000000.0
11387,0.76035,2051329904,0.76635,2067060582.0,14.0,-1.0,-1.0,-1.0,0.0,128433000000000.0,128400000000000.0,1154.044,125.755,973.59,1.0,0.2523,938.33,35.692190000000004,43.14496,17.97764,-7.94,22.74,-131.77,1292000000000000.0,-709400000000000.0,-1495000000000000.0,0.01575,29090203.0,29078886.0,3060299107.0,2136088.0,110.0,29190500.0,29190499.0,29078994.0,125.755,128400000000000.0,137150000000000.0,113410000000000.0,88527000000000.0,46522000000000.0,30.531999999999996,40.08,0.0166,0.77472,0.53222,60.9231,-6.32123,25.0941,0.76359,0.5190899999999999,48.9541,-3.8601699999999997,23.2903,0.6284,129300000000000.0,74530000000000.0
11740,0.75435,2035524110,0.76035,2051329904.0,10.0,-1.0,-1.0,-1.0,0.0,127633000000000.0,127600000000000.0,1154.321,127.554,972.74,1.0,0.2523,936.28,35.69265,43.14346,17.98929,-16.49,17.38,-137.99,1269000000000000.0,-624300000000000.0,-1542000000000000.0,0.01585,29090556.0,29078887.0,3060299107.0,2145568.0,109.0,29189374.0,29189373.0,29078994.0,127.554,127620000000000.0,135990000000000.0,112860000000000.0,88054000000000.0,45915000000000.0,28.2118,49.89,0.01677,0.77445,0.52769,60.9779,-5.60116,25.3374,0.77179,0.5177,49.0093,-3.87695,22.8634,0.6292,128400000000000.0,74980000000000.0
12104,0.74835,2019642351,0.75435,2035524110.0,18.0,-1.0,-1.0,-1.0,0.0,126800000000000.0,126900000000000.0,1154.642,129.128,973.41,1.0,0.2523,934.45,35.69468,43.14188,18.00309,-18.46,15.31,-133.48,1257000000000000.0,-584500000000000.0,-1533000000000000.0,0.01581,29090920.0,29078888.0,3060299107.0,2155387.0,108.0,29188588.0,29188587.0,29078994.0,129.311,126860000000000.0,134840000000000.0,112270000000000.0,87463000000000.0,45437000000000.0,25.7322,47.9,0.01678,0.77382,0.52655,61.9332,-4.80964,26.1537,0.7761899999999999,0.5222899999999999,49.8287,-3.49744,22.7701,0.6306,127000000000000.0,75130000000000.0
12477,0.74235,2003681126,0.74835,2019642351.0,13.0,-1.0,-1.0,-1.0,0.0,126000000000000.0,125900000000000.0,1154.434,128.583,976.02,1.0,0.2523,935.97,35.69835,43.140190000000004,18.01771,-19.92,19.16,-126.37,1254000000000000.0,-551500000000000.0,-1527000000000000.0,0.015880000000000002,29091293.0,29078889.0,3060299107.0,2164986.0,107.0,29185229.0,29185228.0,29078994.0,128.583,125940000000000.0,133650000000000.0,111500000000000.0,86702000000000.0,45204000000000.0,23.3546,41.93,0.016909999999999998,0.77281,0.52762,59.8088,-4.34398,25.3306,0.78354,0.53533,48.023,-3.2681400000000003,21.7484,0.6332,125700000000000.0,74290000000000.0
12865,0.73635,1987641144,0.74235,2003681126.0,15.0,-1.0,-1.0,-1.0,0.0,125000000000000.0,125200000000000.0,1154.653,128.169,977.48,1.0,0.2523,937.48,35.703109999999995,43.138940000000005,18.031660000000002,-24.22,18.09,-124.69,1267000000000000.0,-576800000000000.0,-1497000000000000.0,0.01598,29091681.0,29078890.0,3060299107.0,2175820.0,106.0,29184659.0,29184658.0,29078994.0,128.16899999999998,125170000000000.0,132630000000000.0,110440000000000.0,86248000000000.0,45330000000000.0,21.4011,44.5,0.01706,0.77057,0.52984,61.8353,-4.47098,25.5194,0.7789699999999999,0.5384399999999999,49.6545,-3.4215199999999997,21.9163,0.635,124300000000000.0,73380000000000.0
13261,0.73035,1971520449,0.73635,1987641144.0,17.0,-1.0,-1.0,-1.0,0.0,124000000000000.0,123900000000000.0,1153.293,127.944,978.3,1.0,0.2523,937.2,35.70688,43.13726,18.04293,-24.1,6.44,-127.99,1263000000000000.0,-589600000000000.0,-1443000000000000.0,0.01599,29092077.0,29078891.0,3060299107.0,2186216.0,105.0,29183882.0,29183881.0,29078994.0,127.944,123900000000000.0,131760000000000.0,109160000000000.0,85802000000000.0,44802000000000.0,22.6607,52.15,0.01709,0.7651100000000001,0.53009,60.8684,-4.42201,24.6059,0.77408,0.54086,48.9455,-3.69677,21.022,0.6358,122600000000000.0,72550000000000.0
13667,0.72435,1955319475,0.73035,1971520449.0,17.0,-1.0,-1.0,-1.0,0.0,122733000000000.0,122900000000000.0,1152.851,126.593,977.91,1.0,0.2523,935.87,35.70666,43.132490000000004,18.05041,-24.16,0.61,-131.85,1226000000000000.0,-604400000000000.0,-1432000000000000.0,0.01598,29092483.0,29078892.0,3060299107.0,2196048.0,104.0,29182560.0,29182559.0,29078994.0,129.017,122940000000000.0,130670000000000.0,108160000000000.0,85933000000000.0,44633000000000.0,27.7899,57.42,0.017130000000000003,0.76578,0.52932,63.4548,-5.25582,24.5512,0.7723800000000001,0.53566,51.0764,-4.44062,21.6997,0.6368,121400000000000.0,71340000000000.0
14086,0.71835,1939034992,0.72435,1955319475.0,16.0,-1.0,-1.0,-1.0,0.0,121600000000000.0,121400000000000.0,1150.569,126.913,978.76,1.0,0.2523,935.79,35.709990000000005,43.1278,18.06198,-20.33,13.72,-136.19,1258000000000000.0,-572800000000000.0,-1432000000000000.0,0.01643,29092902.0,29078893.0,3060299107.0,2205711.0,103.0,29179337.0,29179336.0,29078994.0,128.137,121410000000000.0,129350000000000.0,107590000000000.0,86177000000000.0,44501000000000.0,31.6726,45.37,0.01764,0.77357,0.53793,64.1212,-5.80524,22.7856,0.7764,0.53313,51.2117,-3.7734900000000002,22.6413,0.6382,121800000000000.0,70880000000000.0
