,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin(35),Mvir_all(36),M200b(37),M200c(38),M500c(39),M2500c(40),Xoff(41),Voff(42),Spin_Bullock(43),b_to_a(44),c_to_a(45),A[x](46),A[y](47),A[z](48),b_to_a(500c)(49),c_to_a(500c)(50),A[x](500c)(51),A[y](500c)(52),A[z](500c)(53),T/|U|(54),M_pe_Behroozi(55),M_pe_Diemer(56),Macc(57),Mpeak(58),Vacc(59),Vpeak(60),Halfmass_Scale(61),Acc_Rate_Inst(62),Acc_Rate_100Myr(63),Acc_Rate_1*Tdyn(64),Acc_Rate_2*Tdyn(65),Acc_Rate_Mpeak(66),Mpeak_Scale(67),Acc_Scale(68),First_Acc_Scale(69),First_Acc_Mvir(70),First_Acc_Vmax(71),Vmax@Mpeak(72)
3779,1.00035,3058452239,0.0,-1,1,3058452345,3058452345,-1,0,131000000000.0,131000000000.0,105.1,6.013,102.64,1,0.4263,103.35,1.94002,29.197440000000004,18.149620000000002,285.4,23.46,471.75,-7258000000.0,23100000000.0,-1997000000.0,0.017580000000000002,634367743,634367743,3058452239,12430,180,-1,634369228,634367918,5.60569,187680000000,136840000000,114900000000,87230000000,55745000000,1.8108,2.64,0.01704,0.8458200000000001,0.7132,-1.39354,5.84534,-3.26062,0.9450200000000001,0.8739899999999999,-3.5541400000000003,0.01409,3.6527199999999995,0.6416,174200000000,52470000000,204900000000.0,694200000000.0,128.42,184.66,0.4204,-52.46,-44.08,-29.26,-15.71,0.0,0.4743,0.8079999999999999,0.55,539900000000.0,158.89,178.76
4188,1.00035,3058452344,0.0,-1,1,3058452345,3058452345,-1,0,116400000000.0,116400000000.0,101.045,1.472,129.08,1,0.6283,144.17,1.64657,29.84065,17.72554,897.68,166.34,921.58,-905200000.0,535800000.0,-5026000000.0,0.00798,653355320,653355320,3058452344,12535,180,-1,653357153,653355497,1.6563400000000001,130570000000,117900000000,115030000000,114080000000,105220000000,1.09911,6.29,0.00439,0.9076799999999999,0.82786,-2.0002,2.6246099999999997,-2.56945,0.91746,0.84565,-1.5030299999999999,2.9587,-2.3712299999999997,0.5034,404000000000,85460000000,716900000000.0,1456000000000.0,202.46,254.92,0.2944,-54.85,-36.43,-50.4,-76.02,0.0,0.4803,0.628,0.456,1397000000000.0,240.33,241.13
4265,1.00035,3058452358,0.0,-1,1,-1,-1,-1,0,174067000000.0,114100000000.0,100.37,2.039,97.24,1,0.3423,105.58,2.7900400000000003,29.52443,17.58449,132.81,441.33,634.33,501300000.0,-7470000000.0,-25890000000.0,0.03145,656677469,656677469,3058452358,12549,180,-1,656677857,656677643,4.23297,120210000000,120080000000,106990000000,94590000000,67331000000,3.5749,8.63,0.0238,0.9772299999999999,0.89335,-1.1674799999999999,-2.89065,3.7168900000000002,0.9273899999999999,0.8499899999999999,0.37306999999999996,3.3189699999999998,-2.98299,0.528,200500000000,50570000000,114100000000.0,201400000000.0,105.58,124.66,0.3363,4.769,-0.763,-2.8930000000000002,-15.95,0.0,0.6523,1.0,0.622,197900000000.0,114.12,114.77
4782,1.00035,3058452133,0.0,-1,1,3058452345,3058452345,-1,0,100700000000.0,100700000000.0,96.289,2.54,89.72,1,0.8023,99.96,2.03701,29.80348,18.24261,808.53,-445.55,-169.34,-9904000000.0,-298800000.0,-1431000000.0,0.01401,677712475,677712475,3058452133,12324,180,-1,677712807,677712648,4.24641,103310000000,103310000000,92000000000,81642000000,54110000000,1.94125,9.28,0.010879999999999999,0.89833,0.80694,0.8362299999999999,3.6746199999999996,4.34052,0.9557,0.8777799999999999,1.76562,2.50525,3.95146,0.521,163700000000,42800000000,111900000000.0,124700000000.0,102.64,112.83,0.2464,-14.31,-8.144,-5.2829999999999995,-1.5830000000000002,0.0,0.5504,0.889,0.498,113700000000.0,104.87,104.36
5262,1.00035,3058451981,0.0,-1,1,3058451980,3058452345,-1,0,89960000000.0,89960000000.0,92.728,1.689,96.3,1,0.1083,100.06,1.95163,29.46242,17.68096,-443.99,884.9,-312.88,1744000000.0,-9379000000.0,840800000.0,0.0155,697433769,697433769,3058451981,12172,180,-1,697434502,697433945,3.5898800000000004,100720000000,91046000000,86821000000,77008000000,52338000000,2.80537,20.44,0.01256,0.74875,0.68752,0.0018800000000000002,-0.54438,5.42341,0.8081,0.70175,0.30345,-0.4247,4.73917,0.6018,160300000000,40890000000,141700000000.0,225200000000.0,107.26,119.86,0.3604,-159.3,-86.12,-24.55,-12.95,0.0,0.6223,0.8740000000000001,0.5379999999999999,172400000000.0,112.43,113.97
7536,1.00035,3058452302,0.0,-1,1,3058452345,3058452345,-1,0,59290000000.0,59290000000.0,80.697,0.78,83.5,1,0.6703,103.83,1.8939700000000002,29.2632,17.258960000000002,550.53,63.84,201.58,1266000000.0,2484000000.0,-1227000000.0,0.012490000000000001,778580206,778580206,3058452302,12493,180,-1,778580630,778580379,1.79397,64332000000,64877000000,52611000000,47431000000,41025000000,2.16413,5.43,0.00801,0.8046399999999999,0.77942,-1.89445,3.54256,1.6432099999999998,0.8714799999999999,0.81904,-1.43153,3.48245,0.030780000000000002,0.4748,153000000000,34760000000,105400000000.0,207200000000.0,118.75,143.3,0.2163,-16.22,-15.92,-17.94,-12.55,0.0,0.3483,0.778,0.51,201000000000.0,132.32,137.81
7765,1.00035,3058451994,0.0,-1,1,-1,-1,-1,0,62423300000.0,57240000000.0,79.759,3.386,76.29,1,0.8503,80.92,2.2216400000000003,29.02148,17.37854,-151.32,337.68,113.12,309500000.0,-2798000000.0,-9275000000.0,0.03488,786028940,786028940,3058451994,12185,180,-1,786029300,786029117,3.80905,83823000000,60652000000,53974000000,48931000000,32711000000,3.56905,6.25,0.027010000000000003,0.9514600000000001,0.8339700000000001,-1.8416400000000002,4.57214,1.16924,0.93334,0.79976,2.38637,3.8488900000000004,0.6743600000000001,0.5322,100600000000,23850000000,57240000000.0,95950000000.0,80.92,97.14,0.3724,-6.6770000000000005,-3.6039999999999996,-1.565,-4.9719999999999995,0.0,0.5283,1.0,0.6459999999999999,86000000000.0,86.3,86.56
7952,1.00035,3058451930,0.0,-1,1,3058452345,3058452345,-1,0,55610000000.0,55610000000.0,78.992,2.159,78.53,1,0.2103,79.98,1.1819,29.752309999999998,17.99043,-324.62,784.68,234.23,3409000000.0,-5974000000.0,-13630000000.0,0.049319999999999996,792258193,792258193,3058451930,12121,180,-1,792258478,792258366,3.79794,65695000000,56700000000,53156000000,43342000000,25079000000,3.02926,3.71,0.044660000000000005,0.90727,0.84867,3.3484300000000005,3.2540299999999998,0.5270199999999999,0.9617700000000001,0.8531799999999999,3.82019,0.9663200000000001,0.73541,0.6212,78270000000,21400000000,73460000000.0,77550000000.0,89.88,94.92,0.2223,-6.438,-4.1,-8.762,-4.282,0.0,0.5043,0.853,0.853,73460000000.0,89.88,89.38
8192,1.00035,3058451790,0.0,-1,1,3058452345,3058452345,-1,0,53970000000.0,53970000000.0,78.21,5.205,72.93,1,0.1443,72.27,2.22802,29.285420000000002,17.463639999999998,-552.96,-361.88,246.31,2649000000.0,5521000000.0,-18880000000.0,0.06187,798675187,798675187,3058451790,11981,180,-1,798675444,798675358,5.25603,57926000000,57108000000,48794000000,39662000000,23034000000,4.38248,7.24,0.061,0.72615,0.6717,5.849419999999999,-1.35311,-0.06607,0.73405,0.69635,4.73546,-1.12542,0.77879,0.6378,69960000000,23170000000,54790000000.0,55200000000.0,67.23,74.14,0.4143,3.1,-2.6319999999999997,0.6088,3.12,3.265,0.9614,0.9520000000000001,0.9520000000000001,54790000000.0,67.23,67.31
8592,1.00035,3058451941,0.0,-1,1,3058452345,3058452345,-1,0,50970000000.0,50970000000.0,76.734,2.835,88.33,1,0.7303,75.05,1.66028,29.267229999999998,17.58869,-209.13,650.85,-626.44,8829000000.0,-732300000.0,-11680000000.0,0.02719,811427353,811427353,3058451941,12132,180,-1,811427632,811427522,4.17364,64877000000,52747000000,44978000000,39254000000,25488000000,6.8883399999999995,16.56,0.049569999999999996,0.7115600000000001,0.5882,-3.5824599999999998,3.7587599999999997,2.01765,0.6392899999999999,0.5532699999999999,3.43338,-2.5708599999999997,-2.4514099999999996,0.9034,78270000000,18130000000,44300000000.0,61880000000.0,60.44,75.05,0.5163,-9.777000000000001,-23.63,3.872,-1.103,2.895,0.7543,0.904,0.904,44300000000.0,60.44,62.62
455,1.00035,3060118785,0.0,-1,2,-1,-1,-1,0,1378330000000.0,1372000000000.0,229.98,23.794,189.46,1,0.4263,190.23,39.50517,0.86784,44.22723,315.46,214.36,-37.2,504300000000.0,1353000000000.0,662900000000.0,0.023,352020992,352020992,3060118785,1678976,180,-1,352023704,352021167,24.585,1408100000000,1509600000000,1161800000000,919050000000,444190000000,5.12134,6.85,0.02222,0.85393,0.70948,11.6008,6.555339999999999,2.2717,0.77974,0.60985,10.0794,4.34103,2.85379,0.5686,1591000000000,780200000000,1372000000000.0,1379000000000.0,190.23,210.51,0.4264,47.69,41.44,52.85,67.2,39.93,0.9284,1.0,1.0,1372000000000.0,190.23,192.0
3909,1.00035,3060118805,0.0,-1,1,-1,-1,-1,0,129867000000.0,126800000000.0,103.958,7.239,81.02,1,0.1023,89.66,40.19007,1.08355,44.38252,284.79,291.31,-79.4,-13890000000.0,13260000000.0,-4338000000.0,0.01636,639678758,639678758,3060118805,1678996,180,-1,639679084,639678935,9.230269999999999,128660000000,135480000000,109450000000,85322000000,46750000000,2.08592,8.56,0.014580000000000001,0.94052,0.8209,-3.30456,3.30849,7.233860000000001,0.8698799999999999,0.74053,-2.72838,2.90591,6.0933,0.5018,153000000000,52610000000,126800000000.0,130400000000.0,89.66,105.98,0.3903,9.538,3.5260000000000002,1.645,1.167,0.0,0.6463,1.0,1.0,126800000000.0,89.66,89.35
