,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin(35),Mvir_all(36),M200b(37),M200c(38),M500c(39),M2500c(40),Xoff(41),Voff(42),Spin_Bullock(43),b_to_a(44),c_to_a(45),A[x](46),A[y](47),A[z](48),b_to_a(500c)(49),c_to_a(500c)(50),A[x](500c)(51),A[y](500c)(52),A[z](500c)(53),T/|U|(54),M_pe_Behroozi(55),M_pe_Diemer(56),Macc(57),Mpeak(58),Vacc(59),Vpeak(60),Halfmass_Scale(61),Acc_Rate_Inst(62),Acc_Rate_100Myr(63),Acc_Rate_1*Tdyn(64),Acc_Rate_2*Tdyn(65),Acc_Rate_Mpeak(66),Mpeak_Scale(67),Acc_Scale(68),First_Acc_Scale(69),First_Acc_Mvir(70),First_Acc_Vmax(71),Vmax@Mpeak(72)
544,1.00035,3058466211,0.0,-1,1,-1,-1,-1,0,1158290000000.0,1101000000000.0,213.669,57.782,161.2,1,0.1863,156.02,27.719890000000003,28.248990000000003,30.858109999999996,-147.36,60.18,-312.02,1624000000000.0,-42360000000.0,2117000000000.0,0.04755,373909081,373909081,3058466211,26402,180,-1,373910513,373909254,47.2042,1102400000000,1389400000000,735190000000,488350000000,237840000000,23.1908,26.19,0.0539,0.61434,0.53974,6.679880000000001,12.1243,-6.776039999999999,0.8589100000000001,0.70143,2.34409,8.93932,-0.5056,0.605,1163000000000,1180000000000,1101000000000.0,1159000000000.0,156.02,172.0,0.5744,47.69,0.0,-25.92,82.58,97.25,0.8534,1.0,1.0,1101000000000.0,156.02,167.77
545,1.00035,3060076464,0.0,-1,1,3060076468,3060076468,-1,0,1099000000000.0,1099000000000.0,213.555,7.375,208.31,1,0.3483,215.43,49.586059999999996,18.6695,0.26250999999999997,-53.99,432.57,260.62,-901300000000.0,-6572000000.0,297000000000.0,0.02352,374115861,374115861,3060076464,1636655,180,-1,374119596,374116038,10.4032,1158000000000,1191200000000,1003300000000,901060000000,612380000000,3.7376099999999997,9.85,0.019219999999999998,0.80806,0.72805,3.2992800000000004,7.208189999999999,7.11455,0.86611,0.7781899999999999,2.4044,5.37489,7.19192,0.5668,1821000000000,453700000000,2246000000000.0,2251000000000.0,247.2,271.68,0.3423,-310.0,-184.5,-163.6,-278.3,14.22,0.7124,0.706,0.706,2246000000000.0,247.2,246.09
546,1.00035,3060090121,0.0,-1,1,3060090160,3060090160,-1,0,1094000000000.0,1094000000000.0,213.263,11.29,192.95,1,0.3783,199.72,47.98928,14.100970000000002,13.437220000000002,-487.77,304.17,72.16,-525200000000.0,-173500000000.0,617900000000.0,0.01977,374601017,374601017,3060090121,1650312,180,-1,374604018,374601190,13.6168,1146300000000,1164800000000,1001100000000,857720000000,512610000000,10.3872,10.17,0.016909999999999998,0.89764,0.7753800000000001,10.8943,2.45995,0.75122,0.90984,0.7932899999999999,7.529539999999999,6.02683,0.92027,0.5526,1571000000000,415600000000,1158000000000.0,1755000000000.0,203.36,246.36,0.3664,-357.7,-42.89,-107.2,-121.1,0.0,0.4503,0.9009999999999999,0.688,1644000000000.0,227.89,240.81
547,1.00035,3060324598,0.0,-1,1,-1,-1,-1,0,1101330000000.0,1092000000000.0,213.112,52.805,167.46,1,0.8383,153.31,47.086490000000005,40.95523,41.45531,-215.77,450.4,-257.71,-5206000000000.0,2113000000000.0,-3954000000000.0,0.11732000000000001,374787441,374787441,3060324598,1884789,180,-1,374788917,374787616,53.6864,1092000000000,1210000000000,834270000000,480170000000,209220000000,36.321999999999996,50.25,0.14059000000000002,0.5243899999999999,0.39973000000000003,-2.0453900000000003,18.5903,5.25975,0.71792,0.5462,9.832189999999999,-1.507,3.3426,0.6459999999999999,1104000000000,1085000000000,1092000000000.0,1102000000000.0,153.31,176.14,0.6643,0.0,-36.19,49.0,108.3,111.8,0.9764,1.0,1.0,1092000000000.0,153.31,159.35
548,1.00035,3060301306,0.0,-1,1,-1,-1,-1,0,1086000000000.0,1086000000000.0,212.704,16.679,185.92,1,0.2283,192.95,43.160759999999996,48.43547,28.765390000000004,-222.9,-133.94,111.06,-1223000000000.0,231500000000.0,43770000000.0,0.0281,375344143,375344143,3060301306,1861497,180,-1,375345798,375344321,15.3595,1095300000000,1184300000000,949040000000,764080000000,402620000000,9.69626,9.63,0.02572,0.74384,0.62266,1.2999,8.26529,7.99038,0.7669199999999999,0.59814,0.31793000000000005,6.49193,6.65115,0.5702,1324000000000,497200000000,1086000000000.0,1086000000000.0,192.95,223.71,0.4683,47.69,0.0,37.4,18.19,12.86,0.9913,1.0,1.0,1086000000000.0,192.95,193.37
549,1.00035,3058661176,0.0,-1,1,-1,-1,-1,0,1085000000000.0,1085000000000.0,212.624,16.062,201.82,1,0.5103,188.38,9.4535,46.19357,14.961479999999998,84.17,267.94,23.97,-331500000000.0,251000000000.0,947300000000.0,0.01977,375431560,375431560,3058661176,221367,180,-1,375432765,375431734,16.8776,1086200000000,1198700000000,960080000000,753310000000,410250000000,2.74855,58.71,0.02141,0.59905,0.58818,10.4877,2.51914,-8.5594,0.58999,0.55224,8.945219999999999,2.0150799999999998,-6.36223,0.6878,1319000000000,490500000000,1085000000000.0,1085000000000.0,188.38,188.38,0.5624,166.9,115.3,162.4,124.2,100.4,1.0,1.0,1.0,1085000000000.0,188.38,188.38
550,1.00035,3058648954,0.0,-1,2,-1,-1,-1,0,1081330000000.0,1081000000000.0,212.401,14.008,181.93,1,0.1323,194.58,26.746229999999997,34.94256,2.21968,79.41,35.42,205.04,-1080000000000.0,-76120000000.0,-178300000000.0,0.0267,375756940,375756940,3058648954,209145,180,-1,375758834,375757113,14.758,1108500000000,1135600000000,960890000000,767490000000,448960000000,3.2429900000000003,7.05,0.02284,0.86077,0.72851,8.380180000000001,-1.13962,-7.34888,0.8860899999999999,0.69925,7.7839,-1.64868,-4.916440000000001,0.5272,1376000000000,466400000000,1081000000000.0,1082000000000.0,194.58,201.28,0.3543,-23.85,3.815,19.94,19.56,10.13,0.9973,1.0,1.0,1081000000000.0,194.58,194.5
551,1.00035,3058650234,0.0,-1,1,-1,-1,-1,0,1080000000000.0,1080000000000.0,212.347,31.112,169.89,1,0.8503,162.6,7.80213,44.706759999999996,5.60899,163.14,316.59,147.01,-5590000000.0,1027000000000.0,750700000000.0,0.02489,375854463,375854463,3058650234,210425,180,-1,375855573,375854639,33.8911,1083300000000,1153200000000,939360000000,620150000000,257870000000,4.36826,45.82,0.0265,0.55602,0.44015,12.0861,11.2957,-9.58157,0.42991999999999997,0.32881,8.88503,8.73606,-7.66155,0.598,1207000000000,764900000000,1080000000000.0,1080000000000.0,162.6,201.22,0.8414,71.54,97.63,121.2,171.8,139.5,1.0,1.0,1.0,1080000000000.0,162.6,162.6
552,1.00035,3058442120,0.0,-1,1,3058442129,3058442129,-1,0,1077000000000.0,1077000000000.0,212.15,11.786,238.88,1,0.3903,199.77,26.09739,11.01907,7.1688,-558.13,677.51,-436.46,268500000000.0,2827000000000.0,2557000000000.0,0.04994,376117075,376117075,3058442120,2311,180,-1,376119777,376117251,13.2665,1443400000000,1123600000000,988830000000,866580000000,523520000000,27.7403,45.82,0.07998999999999999,0.86287,0.54524,-3.5790900000000003,-7.93124,10.0583,0.68319,0.4879,-5.02039,-6.47475,8.93807,0.8740000000000001,1625000000000,424800000000,1379000000000.0,1405000000000.0,193.2,214.08,0.4803,-381.5,-141.4,-149.1,-76.14,0.0,0.6523,0.871,0.871,1379000000000.0,193.2,191.65
553,1.00035,3058442322,0.0,-1,1,-1,-1,-1,0,1158330000000.0,1075000000000.0,212.007,29.513,166.19,1,0.3063,170.35,10.20416,7.499060000000001,10.471919999999999,64.82,-60.9,113.87,-22610000000.0,1131000000000.0,-507900000000.0,0.02521,376303255,376303255,3058442322,2513,180,-1,376304457,376303432,26.064,1105000000000,1241800000000,812190000000,583490000000,321660000000,7.18255,14.65,0.026039999999999997,0.6527,0.5396,14.5853,3.94622,-3.99265,0.55447,0.47286000000000006,11.7945,3.03877,-3.2278700000000002,0.579,1078000000000,661400000000,1075000000000.0,1160000000000.0,170.35,194.32,0.5804,47.69,-13.81,-40.87,82.51,98.84,0.8653,1.0,1.0,1075000000000.0,170.35,169.73
